#eta,sqrt(ADC),correction
0.062500,133.250000,0.047823
0.062500,133.750000,0.047823
0.062500,134.250000,0.047823
0.062500,134.750000,0.047823
0.062500,135.250000,0.047823
0.062500,135.750000,0.047823
0.062500,136.250000,0.047823
0.062500,136.750000,0.047823
0.062500,137.250000,0.047823
0.062500,137.750000,0.047823
0.062500,138.250000,0.047823
0.062500,138.750000,0.047823
0.062500,139.250000,0.047823
0.062500,139.750000,0.047823
0.062500,140.250000,0.047823
0.062500,140.750000,0.047823
0.062500,141.250000,0.047823
0.062500,141.750000,0.047823
0.062500,142.250000,0.047823
0.062500,142.750000,0.047823
0.062500,143.250000,0.047823
0.062500,143.750000,0.047823
0.062500,144.250000,0.047823
0.062500,144.750000,0.047823
0.062500,145.250000,0.047823
0.062500,145.750000,0.047823
0.062500,146.250000,0.047823
0.062500,146.750000,0.047823
0.062500,147.250000,0.047823
0.062500,147.750000,0.047823
0.062500,148.250000,0.047823
0.062500,148.750000,0.047823
0.062500,149.250000,0.047823
0.062500,149.750000,0.047823
0.087500,0.250000,0.040957
0.087500,0.750000,0.040957
0.087500,1.250000,0.040957
0.087500,1.750000,0.040957
0.087500,2.250000,0.040957
0.087500,2.750000,0.040957
0.087500,3.250000,0.040957
0.087500,3.750000,0.040957
0.087500,4.250000,0.040957
0.087500,4.750000,0.040957
0.087500,5.250000,0.040957
0.087500,5.750000,0.040957
0.087500,6.250000,0.040958
0.087500,6.750000,0.041457
0.087500,7.250000,0.041955
0.087500,7.750000,0.042454
0.087500,8.250000,0.042952
0.087500,8.750000,0.043450
0.087500,9.250000,0.043949
0.087500,9.750000,0.044447
0.087500,10.250000,0.044946
0.087500,10.750000,0.045444
0.087500,11.250000,0.045943
0.087500,11.750000,0.046379
0.087500,12.250000,0.046492
0.087500,12.750000,0.046605
0.087500,13.250000,0.046718
